"id";"uri";"urlDocumentoPauta";"dataHoraInicio";"dataHoraFim";"situacao";"descricao";"descricaoTipo";"localExterno";"localCamara.nome";"localCamara.predio";"localCamara.sala";"localCamara.andar"
"67210";"https://dadosabertos.camara.leg.br/api/v2/eventos/67210";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2241551";"2023-03-09T09:00:00";"2023-03-09T15:05:00";"Encerrada";"Sessão Deliberativa Extraordinária (semipresencial)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"67187";"https://dadosabertos.camara.leg.br/api/v2/eventos/67187";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2239590";"2023-03-08T15:16:24";"2023-03-08T19:03:55";"Encerrada";"A - Apresentação das propostas de reforma tributária (PEC 45 e PEC 110/19)

BALEIA ROSSI, Deputado Federal e Autor da PEC 45/2019;

DAVI ALCOLUMBRE, Senador e Autor da PEC 110/2019;

ROBERTO ROCHA, Senador na 55ª e na 56ª Legislaturas e Relator da PEC 110/2019 na Comissão de Constituição e Justiça - CCJ do Senado Federal;

BERNARD APPY, Secretário Extraordinário da Reforma Tributária no Ministério da Fazenda.

B - Deliberação de Requerimentos (estão sujeitos a pauta os Requerimentos apresentados até 24h antes do horário da reunião)";"Reunião Deliberativa";"";"Anexo II, Plenário 02";"";"";""
"67207";"https://dadosabertos.camara.leg.br/api/v2/eventos/67207";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2240650";"2023-03-08T14:29:54";"2023-03-09T12:25:50";"Encerrada";"TESTE - Reunião de Eleição CCTI";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 13";"";"";""
"67208";"https://dadosabertos.camara.leg.br/api/v2/eventos/67208";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2240692";"2023-03-08T14:00:00";"2023-03-08T15:56:26";"Encerrada";"Teste";"Audiência Pública";"";"Anexo II, Plenário 06";"";"";""
"67204";"https://dadosabertos.camara.leg.br/api/v2/eventos/67204";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2241098";"2023-03-08T13:58:00";"2023-03-08T21:35:00";"Encerrada";"Sessão Deliberativa Extraordinária (semipresencial)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"67202";"https://dadosabertos.camara.leg.br/api/v2/eventos/67202";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2240661";"2023-03-08T10:33:00";"2023-03-08T13:53:00";"Encerrada";"Homenagem ao Dia Internacional da Mulher";"Sessão Não Deliberativa Solene";"";"Plenário da Câmara dos Deputados";"";"";""
"67196";"https://dadosabertos.camara.leg.br/api/v2/eventos/67196";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2240012";"2023-03-08T10:00:00";"2023-03-08T11:45:00";"Encerrada";"Reunião administrativa restrita aos membros do Grupo de Trabalho.";"Reunião Técnica";"";"Anexo II, Sala 175B Piso Superior";"";"";""
"67155";"https://dadosabertos.camara.leg.br/api/v2/eventos/67155";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238579";"2023-03-07T17:23:01";"2023-03-07T17:23:05";"Encerrada";"Teste de Eleição - CREDN";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 03";"";"";""
"67203";"https://dadosabertos.camara.leg.br/api/v2/eventos/67203";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2240263";"2023-03-07T15:48:29";"2023-03-07T16:06:56";"Encerrada";"treinamento de eleição da CDHMIR";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 09";"";"";""
"67198";"https://dadosabertos.camara.leg.br/api/v2/eventos/67198";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2240149";"2023-03-07T15:10:02";"2023-03-07T15:45:38";"Encerrada (Final)";"Treinamento de eleição da CDHMIR";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 09";"";"";""
"67186";"https://dadosabertos.camara.leg.br/api/v2/eventos/67186";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2239536";"2023-03-07T15:03:31";"2023-03-07T16:17:32";"Encerrada";"A - Deliberação de Requerimentos (estão sujeitos a pauta os Requerimentos apresentados até 24h antes do horário da reunião):";"Reunião Deliberativa";"";"Anexo II, Plenário 02";"";"";""
"67177";"https://dadosabertos.camara.leg.br/api/v2/eventos/67177";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238960";"2023-03-07T14:33:40";"2023-03-07T18:25:53";"Encerrada (Final)";"A- Audiência pública
Convidados:
JUNIOR DIVINO FIDELES, Advogado-Geral da União Adjunto; (Confirmado) 
RUI COSTA, Ministro Chefe da Casa Civil da Presidência da República;
ALEXANDRE SILVEIRA, Ministro de Minas e Energia;
LUIZ FERNANDO BANDEIRA DE MELO, Conselheiro do Conselho Nacional de Justiça;(Confirmado)
JARBAS SOARES JUNIOR, Procurador-Geral de Justiça do Estado de Minas Gerais;
JASSON HIBNER AMARAL, Procurador-Geral de Justiça do Estado do Espírito Santo;
CARLOS BRUNO FERREIRA DA SILVA, Procurador da República, Coordenador da Força-Tarefa do Rio Doce e Brumadinho; (Confirmado)
LUIZ OTÁTVIO MILAGRES DE ASSIS, Secretário-adjunto da Secretaria de Estado de Planejamento e Gestão  do Governo de Minas Gerais;
RICARDO LANOTTI DA ROCHA, Subsecretário da Casa Civil para Assuntos Administrativos do Estado do Espírito Santo;
JOCELI ANDREOLI, Coordenação Nacional do Movimento dos Atingidos por Barragens (MAB);(Confirmado)
RODRIGO PIRES, Cáritas Regional Minas Gerais, Coordenador do projeto de assessoria técnica indepedente ao atingidos e atingidos pelo crime da Samarco;(Confirmado)
MONICA SANTOS, Comissão de Atingidos de Mariana, ex moradora de Bento Rodrigues;(Confirmado)
JOELMA FERNANDES TEIXEIRA, Comissão de Atingidos da Ilha Brava e a Coordenação das Comissões de Governador Valadares;(Confirmado)
ÂNGELO ANTONIO LOPES ELEUTÉRIO, Comissão dos Trabalhadores atingidos pela barragem do Fundão;(Confirmado)
ROMEU ARLINDO DOS ANJOS, Comissão dos Trabalhadores atingidos pela barragem do Fundão;(Confirmado)
MARINO D'ANGELO,  Comissão de Atingidos da Zona Rural de Mariana. (Confirmado)

(Requerimento n. 01/2023, do Dep. Rogério Correia)

B- Deliberaçao de requerimentos";"Reunião Deliberativa";"";"Anexo II, Plenário 08";"";"";""
"67200";"https://dadosabertos.camara.leg.br/api/v2/eventos/67200";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2240170";"2023-03-07T14:25:37";"2023-03-07T14:50:22";"Encerrada";"Reunião de Instalação e Eleição - CLP";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 03";"";"";""
"67185";"https://dadosabertos.camara.leg.br/api/v2/eventos/67185";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2240508";"2023-03-07T13:55:00";"2023-03-07T20:43:00";"Encerrada";"Sessão Deliberativa Extraordinária (semipresencial)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"67151";"https://dadosabertos.camara.leg.br/api/v2/eventos/67151";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2240080";"2023-03-07T13:00:00";"";"Cancelada";"Teste de Eleição da CDE - Comissão de Desenvolvimento Econômico";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 05";"";"";""
"67195";"https://dadosabertos.camara.leg.br/api/v2/eventos/67195";"";"2023-03-07T11:33:12";"2023-03-07T13:29:53";"Encerrada";"Teste de Eleição - CMULHER";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 14";"";"";""
"67158";"https://dadosabertos.camara.leg.br/api/v2/eventos/67158";"";"2023-03-07T10:53:12";"2023-03-07T11:23:45";"Encerrada";"Teste de Eleição - CMULHER";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 14";"";"";""
"67184";"https://dadosabertos.camara.leg.br/api/v2/eventos/67184";"";"2023-03-07T10:17:00";"2023-03-07T12:35:00";"Encerrada";"Homenagem aos 56 anos da Zona Franca de Manaus e da Superintendência da Zona Franca de Manaus - Suframa";"Sessão Não Deliberativa Solene";"";"Plenário da Câmara dos Deputados";"";"";""
"67188";"https://dadosabertos.camara.leg.br/api/v2/eventos/67188";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2239559";"2023-03-07T10:00:00";"2023-03-07T11:05:00";"Encerrada";"Reunião administrativa restrita aos membros do Grupo de Trabalho";"Reunião Técnica";"";"Anexo II, Sala 175B Piso Superior";"";"";""
"67182";"https://dadosabertos.camara.leg.br/api/v2/eventos/67182";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2239635";"2023-03-06T10:16:00";"2023-03-06T11:27:00";"Encerrada";"Homenagem às Trabalhadoras e Trabalhadores de Serviços Gerais e de Manutenção, que atuaram na Limpeza e Recuperação Predial da Praça dos Três Poderes.";"Sessão Não Deliberativa Solene";"";"Plenário da Câmara dos Deputados";"";"";""
"67163";"https://dadosabertos.camara.leg.br/api/v2/eventos/67163";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2239454";"2023-03-03T17:26:59";"2023-03-03T17:27:03";"Encerrada";"TESTE  - Reuniao de eleição CCJC";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 01";"";"";""
"67146";"https://dadosabertos.camara.leg.br/api/v2/eventos/67146";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238581";"2023-03-03T10:34:17";"2023-03-03T11:47:15";"Encerrada";"Teste para eleição - CICS - Comissão de Indústria, Comércio e Serviços";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 01";"";"";""
"67176";"https://dadosabertos.camara.leg.br/api/v2/eventos/67176";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238935";"2023-03-02T11:21:08";"2023-03-02T11:21:13";"Encerrada";"Teste de eleição da CSPCCO";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 06";"";"";""
"67169";"https://dadosabertos.camara.leg.br/api/v2/eventos/67169";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2239046";"2023-03-02T09:00:00";"2023-03-02T14:18:00";"Encerrada";"Sessão Deliberativa Extraordinária (semipresencial)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"67173";"https://dadosabertos.camara.leg.br/api/v2/eventos/67173";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238750";"2023-03-01T18:00:00";"";"Cancelada";"Teste de eleição CMADS 2";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 02";"";"";""
"67170";"https://dadosabertos.camara.leg.br/api/v2/eventos/67170";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238652";"2023-03-01T17:15:00";"";"Encerrada";"Teste eleição - CDU";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 16";"";"";""
"67143";"https://dadosabertos.camara.leg.br/api/v2/eventos/67143";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238674";"2023-03-01T17:36:47";"2023-03-01T17:52:36";"Encerrada";"Treinamento eleição CDHMIR";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 09";"";"";""
"67171";"https://dadosabertos.camara.leg.br/api/v2/eventos/67171";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238654";"2023-03-01T17:25:50";"2023-03-01T17:28:43";"Encerrada (Final)";"Instalação e eleição da Mesa da CPOVOS.";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 15";"";"";""
"67152";"https://dadosabertos.camara.leg.br/api/v2/eventos/67152";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238620";"2023-03-01T17:21:57";"2023-03-01T17:22:00";"Encerrada";"Reunião de Instalação e eleição da Comissão de Admninistração e Serviço Público

Candidato para o Cargo de Presidente:
Deputado xx

Candidato para o Cargo  de Primeiro Vice-Presidente:
Deputado xx";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 08";"";"";""
"67167";"https://dadosabertos.camara.leg.br/api/v2/eventos/67167";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238645";"2023-03-01T17:08:25";"2023-03-01T18:20:34";"Encerrada";"Teste de Eleição CCOM";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 11";"";"";""
"67142";"https://dadosabertos.camara.leg.br/api/v2/eventos/67142";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238626";"2023-03-01T17:00:00";"2023-03-01T17:53:00";"Encerrada";"Teste de instalação da CPASF";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 07";"";"";""
"67164";"https://dadosabertos.camara.leg.br/api/v2/eventos/67164";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238628";"2023-03-01T16:37:20";"2023-03-01T17:04:00";"Encerrada";"Teste Eleição CDU";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 16";"";"";""
"67140";"https://dadosabertos.camara.leg.br/api/v2/eventos/67140";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238585";"2023-03-01T16:11:38";"2023-03-01T18:35:42";"Encerrada";"Teste Eleição CIDOSO";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 12";"";"";""
"67165";"https://dadosabertos.camara.leg.br/api/v2/eventos/67165";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238637";"2023-03-01T17:00:00";"";"Cancelada";"Instalação e eleição da Mesa Diretora da CPOVOS.";"Reunião de Instalação e Eleição";"";"Anexo II, Plenário 15";"";"";""
"67168";"https://dadosabertos.camara.leg.br/api/v2/eventos/67168";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238616";"2023-03-01T16:11:40";"2023-03-01T16:19:12";"Encerrada";"teste  eleição cft";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 04";"";"";""
"67147";"https://dadosabertos.camara.leg.br/api/v2/eventos/67147";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238595";"2023-03-01T15:30:00";"2023-03-01T17:13:32";"Encerrada";"Teste Eleição - CESPO";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 04";"";"";""
"67144";"https://dadosabertos.camara.leg.br/api/v2/eventos/67144";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238577";"2023-03-01T18:46:42";"2023-03-01T18:46:44";"Encerrada";"Teste de Eleição CMADS";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 02";"";"";""
"67141";"https://dadosabertos.camara.leg.br/api/v2/eventos/67141";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238605";"2023-03-01T16:56:57";"2023-03-01T16:57:02";"Encerrada";"Teste de instalação da CSAÚDE";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 07";"";"";""
"67148";"https://dadosabertos.camara.leg.br/api/v2/eventos/67148";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238597";"2023-03-01T16:31:21";"2023-03-01T16:31:23";"Encerrada (Final)";"Teste de eleição da CINDRE";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 15";"";"";""
"67160";"https://dadosabertos.camara.leg.br/api/v2/eventos/67160";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238568";"2023-03-01T16:05:47";"2023-03-01T16:06:00";"Encerrada";"Teste eleição CFT";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 04";"";"";""
"67166";"https://dadosabertos.camara.leg.br/api/v2/eventos/67166";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238582";"2023-03-01T16:00:37";"2023-03-01T16:00:39";"Encerrada";"Teste de Eleição - CTRAB";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 12";"";"";""
"67162";"https://dadosabertos.camara.leg.br/api/v2/eventos/67162";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238575";"2023-03-01T15:46:56";"2023-03-01T17:04:24";"Encerrada";"TESTE - Reunião de Eleição - CCTI";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 13";"";"";""
"67159";"https://dadosabertos.camara.leg.br/api/v2/eventos/67159";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238599";"2023-03-01T15:35:44";"";"Encerrada (Termo)";"Teste do Painel Eletrônico- CFFC";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 09";"";"";""
"67156";"https://dadosabertos.camara.leg.br/api/v2/eventos/67156";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238591";"2023-03-01T15:19:36";"2023-03-01T16:07:56";"Encerrada";"Reunião de Instalação e eleição da Comissão de Viação e Transportes

Candidato para o Cargo de Presidente:
Deputado xx

Candidato para o Cargo  de Primeiro Vice-Presidente:
Deputado xx";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 11";"";"";""
"67145";"https://dadosabertos.camara.leg.br/api/v2/eventos/67145";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238559";"2023-03-01T15:00:00";"2023-03-01T16:34:23";"Encerrada";"Teste de Eleição da CME";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 14";"";"";""
"67119";"https://dadosabertos.camara.leg.br/api/v2/eventos/67119";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2236288";"2023-03-01T15:17:10";"2023-03-01T17:01:55";"Encerrada";"A - Abertura dos Trabalhos

B - Apresentação do Plano de Trabalho do Relator, Dep. Aguinaldo Ribeiro.";"Reunião";"";"Anexo II, Plenário 02";"";"";""
"67174";"https://dadosabertos.camara.leg.br/api/v2/eventos/67174";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238794";"2023-03-01T18:47:21";"2023-03-01T19:07:54";"Encerrada";"Teste Eleição Cmads 3";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 02";"";"";""
"67134";"https://dadosabertos.camara.leg.br/api/v2/eventos/67134";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238894";"2023-03-01T13:56:00";"2023-03-01T21:51:00";"Encerrada";"Sessão Deliberativa Extraordinária (semipresencial)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"67130";"https://dadosabertos.camara.leg.br/api/v2/eventos/67130";"";"2023-03-01T10:18:00";"2023-03-01T12:04:00";"Encerrada";"Sessão Solene destinada a homenagear Rui Barbosa, patrono do Senado.";"Sessão Não Deliberativa Solene";"";"Plenário do Senado Federal";"";"";""
"67128";"https://dadosabertos.camara.leg.br/api/v2/eventos/67128";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238633";"2023-03-01T10:15:00";"2023-03-01T12:21:00";"Encerrada";"Homenagem aos 458 Anos da Cidade do Rio de Janeiro.";"Sessão Não Deliberativa Solene";"";"Plenário da Câmara dos Deputados";"";"";""
"67120";"https://dadosabertos.camara.leg.br/api/v2/eventos/67120";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2237148";"2023-02-28T15:25:27";"2023-02-28T17:13:21";"Encerrada (Final)";"Apresentação do plano de trabalho e deliberação de requerimentos";"Reunião Deliberativa";"";"Anexo II, Plenário 07";"";"";""
"67118";"https://dadosabertos.camara.leg.br/api/v2/eventos/67118";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2236285";"2023-02-28T15:25:00";"2023-02-28T16:49:00";"Encerrada";"Reunião administrativa dos membros do GT  para sugestões ao Plano de Trabalho do Relator, Dep. Aguinaldo Ribeiro.";"Reunião Técnica";"";"Anexo II, Sala 175B Piso Superior";"";"";""
"67126";"https://dadosabertos.camara.leg.br/api/v2/eventos/67126";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2238424";"2023-02-28T13:55:00";"2023-02-28T22:23:00";"Encerrada";"Sessão Deliberativa Extraordinária (semipresencial)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"67117";"https://dadosabertos.camara.leg.br/api/v2/eventos/67117";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2236709";"2023-02-16T09:19:00";"2023-02-16T11:01:00";"Encerrada";"Homenagem à Polícia Civil do Distrito Federal Pela Elucidação da Maior Chacina da História do Distrito Federal";"Sessão Não Deliberativa Solene";"";"Plenário da Câmara dos Deputados";"";"";""
"67115";"https://dadosabertos.camara.leg.br/api/v2/eventos/67115";"";"2023-02-15T10:09:00";"2023-02-15T12:29:00";"Encerrada";"Destinada a comemorar os 130 anos de atividade do TCU.";"Sessão Não Deliberativa Solene";"";"Plenário do Senado Federal";"";"";""
"67116";"https://dadosabertos.camara.leg.br/api/v2/eventos/67116";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2235671";"2023-02-15T09:02:00";"2023-02-15T17:08:00";"Encerrada";"Sessão Deliberativa Extraordinária (semipresencial)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"67113";"https://dadosabertos.camara.leg.br/api/v2/eventos/67113";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2235390";"2023-02-14T13:56:00";"2023-02-14T21:39:00";"Encerrada";"Sessão Deliberativa Extraordinária (semipresencial)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"67107";"https://dadosabertos.camara.leg.br/api/v2/eventos/67107";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2234405";"2023-02-09T09:00:00";"2023-02-09T13:55:00";"Encerrada";"Sessão Deliberativa Extraordinária (semipresencial)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"67104";"https://dadosabertos.camara.leg.br/api/v2/eventos/67104";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2233915";"2023-02-08T13:56:00";"2023-02-08T19:29:00";"Encerrada";"Sessão Deliberativa Extraordinária (semipresencial)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"67091";"https://dadosabertos.camara.leg.br/api/v2/eventos/67091";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2233537";"2023-02-07T15:00:00";"2023-02-07T21:23:00";"Encerrada";"Sessão Deliberativa Extraordinária (semipresencial)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"67090";"https://dadosabertos.camara.leg.br/api/v2/eventos/67090";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2232305";"2023-02-03T10:39:00";"2023-02-03T12:31:00";"Encerrada";"Sessão Deliberativa Extraordinária (virtual)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"67089";"https://dadosabertos.camara.leg.br/api/v2/eventos/67089";"";"2023-02-02T15:06:00";"2023-02-02T16:07:00";"Encerrada";"Inauguração da 1ª Sessão Legislativa Ordinária da 57ª Legislatura";"Sessão Não Deliberativa Solene";"";"Plenário da Câmara dos Deputados";"";"";""
"67087";"https://dadosabertos.camara.leg.br/api/v2/eventos/67087";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2230775";"2023-02-02T10:30:00";"2023-02-02T12:40:00";"Encerrada";"Sessão Deliberativa Extraordinária";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"67060";"https://dadosabertos.camara.leg.br/api/v2/eventos/67060";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2230715";"2023-02-01T16:57:00";"2023-02-01T20:01:00";"Encerrada";"Sessão Preparatória - Eleição";"Sessão Preparatória - Eleição";"";"Plenário da Câmara dos Deputados";"";"";""
"67059";"https://dadosabertos.camara.leg.br/api/v2/eventos/67059";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2230662";"2023-02-01T10:12:00";"2023-02-01T12:07:00";"Encerrada";"1ª Sessão Preparatória destinada à posse de candidatos diplomados Deputados Federais, nos termos do art. 4º, do Regimento Interno da Câmara dos Deputados - 57ª Legislatura (2023/2027).";"Sessão Preparatória - Posse";"";"Plenário da Câmara dos Deputados";"";"";""
"67063";"https://dadosabertos.camara.leg.br/api/v2/eventos/67063";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2229182";"2023-01-19T12:30:00";"";"Cancelada";"teste";"Teste do Painel Eletrônico";"";"Anexo II, Plenário 16";"";"";""
"67053";"https://dadosabertos.camara.leg.br/api/v2/eventos/67053";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2228879";"2023-01-09T20:50:00";"2023-01-09T23:51:00";"Encerrada";"Sessão Deliberativa Extraordinária (semipresencial)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"67049";"https://dadosabertos.camara.leg.br/api/v2/eventos/67049";"";"2023-01-01T14:57:00";"2023-01-01T16:04:00";"Encerrada";"Receber o compromisso e dar posse ao Presidente e Vice eleitos";"Sessão Não Deliberativa Solene";"";"Plenário da Câmara dos Deputados";"";"";""
